Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΑΝΑΛΗΨΗ,,ΒΣ ΚΟΥΚΑΚΙ,ΑΤΤΙΚΗΣ,Πειραιώς 193,16231,210-9217800
ΑΝΑΛΗΨΗ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60134,23510-30000 & 23510-34444
ΑΝΑΛΗΨΗ,ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27053,26220-23495
ΑΝΑΛΗΨΗ,ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42200,24310-20081 & 24310-72646
ΑΝΑΛΗΨΗ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37001,24210-36100
ΑΝΑΛΗΨΗ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38221,24210-36100
ΑΝΑΛΗΨΗ,,ΗΒ ΗΡΑΚΛΕΙΟ ΚΕΝΤΡΟ,ΗΡΑΚΛΕΙΟΥ,ΑΝΔ.ΠΑΠΑΝΔΡΕΟΥ 37 & ΑΝΤ.ΚΑΣΤΡΙΝΑΚΗ,71306,2810-336300
ΑΝΑΛΗΨΗ,ΔΠ,ΜΥ ΑΜΥΝΤΑΙΟ,ΦΛΩΡΙΝΑΣ,28ου ΣΥΝΤΑΓΜΑΤΟΣ ΠΕΖΙΚΟΥ 14,53200,23860-23312
ΑΝΑΛΗΨΗ,,ΑΧ ΧΑΛΑΝΔΡΙ,ΑΤΤΙΚΗΣ,Αποστολοπούλου 14,15235,210-6892200
ΑΝΑΛΗΨΗ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22008,2710-221806
ΑΝΑΛΗΨΗ,,ΘΥ ΑΝΑΛΗΨΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΑΣΙΛΙΣΣΗΣ ΟΛΓΑΣ 50,54643,2310-887488
ΑΝΑΛΗΨΗ (ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30008,26410-33141 & 26410-33241
ΑΝΑΛΗΨΗ (ΑΜΑΛΙΑΔΑΣ ΗΛΕΙΑΣ),ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27200,26220-23495
ΑΝΑΛΗΨΗ (ΑΣΤΥΠΑΛΑΙΑΣ ΔΩΔΕΚΑΝΗΣΟΥ),ΔΠ,ΣΥ ΑΣΤΥΠΑΛΑΙΑ,ΔΩΔ/ΝΗΣΟΥ,ΑΣΤΥΠΑΛΑΙΑ,85900,22430-59888
ΑΝΑΛΗΨΗ (ΒΟΙΩΤΙΑΣ),,ΛΒ ΛΙΒΑΔΕΙΑ,ΒΟΙΩΤΙΑΣ,Δελφών 59,32150,22610-88933
ΑΝΑΛΗΨΗ (ΗΡΑΚΛΕΙΟΥ),ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,70014,28970-25067
ΑΝΑΛΗΨΗ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,48300,26510-27074
ΑΝΑΛΗΨΗ (ΚΕΡΚΥΡΑΣ),ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49083,26610-45791
ΑΝΑΛΗΨΗ (ΛΑΓΚΑΔΑ ΘΕΣΣΑΛΟΝΙΚΗΣ),,ΘΛ ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2 ΧΛΜ ΛΑΓΚΑΔΑ - ΘΕΣ/ΚΗΣ,57200,23940-20885
ΑΝΑΛΗΨΗ (ΛΑΣΙΘΙΟΥ),ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72055,28430-20997 & 20999
ΑΝΑΛΗΨΗ (ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΑΝΑΛΗΨΗ ΑΝΩ ΠΟΛΙΧΝΗ,,ΘΕ ΕΥΚΑΡΠΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 110, ΩΡΑΙΟΚΑΣΤΡΟ",56533,2310-688955
ΑΝΑΛΟΥΚΑΣ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72300,28430-20997 & 20999
ΑΝΑΞΟΣ ΣΚΟΥΤΑΡΟΥ,ΔΠ,ΚΗ ΚΑΛΛΟΝΗ ΜΥΤΙΛΗΝΗΣ,ΛΕΣΒΟΥ,ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ ΚΑΛΛΟΝΗΣ,81109,22530-22922
ΑΝΑΠΑΥΤΗΡΙΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49081,26610-45791
ΑΝΑΠΗΡΩΝ,,ΑΑ ΑΡΓΥΡΟΥΠΟΛΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΚΥΠΡΟΥ 158,17455,"210-9944904, 210-9606070"
ΑΝΑΠΝΟΓΑ,,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20150,27416-01020
ΑΝΑΡΓΥΡΟΙ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΑΝΑΡΓΥΡΟΙ (ΦΛΩΡΙΝΗΣ),ΔΠ,ΜΥ ΑΜΥΝΤΑΙΟ,ΦΛΩΡΙΝΑΣ,28ου ΣΥΝΤΑΓΜΑΤΟΣ ΠΕΖΙΚΟΥ 14,50200,23860-23312
ΑΝΑΡΡΑΧΗ,ΔΠ,ΠΜ ΠΤΟΛΕΜΑΙΔΑ,ΚΟΖΑΝΗΣ,25Η ΜΑΡΤΙΟΥ 103 & ΚΑΝΑΡΗ,50200,24630-54556
ΑΝΑΣΚΕΛΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22001,27510-61121
ΑΝΑΣΤΑΣΗ,,ΑΖ ΚΕΡΑΤΣΙΝΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΔΗΜΟΚΡΑΤΙΑΣ 140,18755,210-4010030 & 210-4010032
ΑΝΑΣΤΑΣΗ,ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25004,26910-68700
ΑΝΑΣΤΑΣΙΑ,ΔΠ,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62042,23210-50889 & 23210-50887
ΑΝΑΣΤΑΣΟΠΟΥΛΑΙΙΚΑ,ΔΠ,ΝΠ ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑΣ,ΧΑΡ. ΤΡΙΚΟΥΠΗ 1 & ΤΕΝΕΔΟΥ,21052,27520-96160
ΑΝΑΤΟΛΗ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41336,2410-252460
ΑΝΑΤΟΛΗ,,ΑΩ ΠΙΚΕΡΜΙ,ΑΤΤΙΚΗΣ,Λεωφόρος Μαραθώνος 2,19005,210-6043758
ΑΝΑΤΟΛΗ (ΙΩΑΝΝΙΝΩΝ),,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45222,26510-66966
ΑΝΑΤΟΛΗ (ΙΩΑΝΝΙΝΩΝ),,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45222,26510-66966
ΑΝΑΤΟΛΗ (ΚΟΖΑΝΗΣ),ΔΠ,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50010,24610-21100 & 24610-33446
ΑΝΑΤΟΛΗ (ΛΑΡΙΣΗΣ),ΔΠ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,40003,2410-619009
ΑΝΑΤΟΛΗ (ΛΑΣΙΘΙΟΥ),ΔΠ,ΙΡ ΙΕΡΑΠΕΤΡΑ,ΛΑΣΙΘΙΟΥ,ΔΗΜΟΚΡΑΤΙΑΣ 53,72200,28420-80300
ΑΝΑΤΟΛΗ (ΣΕΡΡΩΝ),ΔΠ,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62055,23210-50889 & 23210-50887
ΑΝΑΤΟΛΗ (ΦΘΙΩΤΙΔΑΣ),ΔΠ,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35003,22310-23901 & 22310-51553
ΑΝΑΤΟΛΙΚΑ ΑΛΙΠΕΔΑ,,ΜΣ ΜΕΣΟΛΟΓΓΙ,ΑΙΤΩΛ/ΝΙΑΣ,ΣΠΥΡΟΥ ΜΟΥΣΤΑΚΛΗ 8,30200,26310-26310
ΑΝΑΤΟΛΙΚΗ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΑΝΑΤΟΛΙΚΗ ΚΟΜΟΤΗΝΗ,,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69133,25310-73700 & 25310-84433
ΑΝΑΤΟΛΙΚΗ ΜΗΛΙΤΣΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24004,27210-88271
ΑΝΑΤΟΛΙΚΗ ΦΡΑΓΚΙΣΤΑ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36071,22370-22313
ΑΝΑΤΟΛΙΚΟ (ΒΕΡΜΙΟΥ ΚΟΖΑΝΗΣ),,ΠΜ ΠΤΟΛΕΜΑΙΔΑ,ΚΟΖΑΝΗΣ,25Η ΜΑΡΤΙΟΥ 103 & ΚΑΝΑΡΗ,50200,24630-54556
ΑΝΑΤΟΛΙΚΟ (ΕΛΛΗΣΠΟΝΤΟΥ ΚΟΖΑΝΗΣ),,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50150,24610-21100 & 24610-33446
ΑΝΑΤΟΛΙΚΟ (ΘΕΣΣΑΛΟΝΙΚΗΣ),ΔΠ,ΘΚ ΚΟΥΦΑΛΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 23,57300,23910-54102
ΑΝΑΤΟΛΙΚΟ (ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24022,27210-88271
ΑΝΑΥΡΟΣ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38222,24210-36100
ΑΝΑΦΗ,ΔΠ,ΣΝ ΣΑΝΤΟΡΙΝΗ,ΚΥΚΛΑΔΩΝ,"ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΦΗΡΩΝ-ΜΕΣΣΑΡΙΑΣ,θΕΣΗ ΚΑΡΤΕΡΑΔΟΣ",84009,22860-25700
ΑΝΑΦΗ (ΝΗΣΟΣ),ΔΠ,ΣΝ ΣΑΝΤΟΡΙΝΗ,ΚΥΚΛΑΔΩΝ,"ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΦΗΡΩΝ-ΜΕΣΣΑΡΙΑΣ,θΕΣΗ ΚΑΡΤΕΡΑΔΟΣ",84009,22860-25700
ΑΝΑΦΩΝΗΤΡΙΑ,ΔΠ,ΖΚ ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΥ,ΘΕΣΗ ΦΛΟΚΑ ΓΑΪΤΑΝΙΟΥ,29090,26950-29900
ΑΝΔΑΝΙΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24002,27210-88271
ΑΝΔΡΑΒΙΔΑ,ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27051,26220-23495
ΑΝΔΡΑΚΙ,,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28100,26710-28002 & 26710-28028
ΑΝΔΡΕΑΣ,ΔΠ,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47150,26810-79878 & 26810-24757
ΑΝΔΡΙΑΝΟΣ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72055,28430-20997 & 20999
ΑΝΔΡΙΚΟΠΟΥΛΑΙΙΚΑ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΑΝΔΡΙΟΛΑΤΑ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28086,26710-28002 & 26710-28028
ΑΝΔΡΙΤΣΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,21250,27510-61121
ΑΝΔΡΙΤΣΑΙΝΑ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27061,26210-25791
ΑΝΔΡΟΜΑΧΗ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60133,23510-30000 & 23510-34444
ΑΝΔΡΟΜΑΧΗ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60150,23510-30000 & 23510-34444
ΑΝΔΡΟΜΥΛΟΙ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72300,28430-20997 & 20999
ΑΝΔΡΟΣ,,ΝΔ ΑΝΔΡΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΑΝΔΡΟΥ,84500,22820-24143 & 22820-24144
ΑΝΔΡΟΣ (ΝΗΣΟΣ),,ΝΔ ΑΝΔΡΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΑΝΔΡΟΥ,84501,22820-24143 & 22820-24144
ΑΝΔΡΟΥΣΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΑΝΔΡΩΝΑΙΙΚΑ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30100,26410-33141 & 26410-33241
ΑΝΔΡΩΝΙΑΝΟΙ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34003,22230-29720
ΑΝΕΖΑ,,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47150,26810-79878 & 26810-24757
ΑΝΕΜΟΓΙΑΝΝΑΤΙΚΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49082,26610-45791
ΑΝΕΜΟΔΟΥΡΙ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22200,2710-221806
ΑΝΕΜΟΕΣΣΑ,ΔΠ,ΛΗ ΛΗΜΝΟΣ,ΛΕΣΒΟΥ,ΓΑΡΟΥΦΑΛΙΔΟΥ 48,81401,22540-23429
ΑΝΕΜΟΜΥΛΙΑ,,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72300,28430-20997 & 20999
ΑΝΕΜΟΜΥΛΟΙ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73200,28210-92520
ΑΝΕΜΟΜΥΛΟΣ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24006,27210-88271
ΑΝΕΜΟΜΥΛΟΣ,,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49132,26610-45791
ΑΝΕΜΟΜΥΛΟΣ (ΑΧΑΙΑΣ),,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25002,26930-22227 & 22207
ΑΝΕΜΟΜΥΛΟΣ (ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24009,27210-88271
ΑΝΕΜΟΡΡΑΧΗ,ΔΠ,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47150,26810-79878 & 26810-24757
ΑΝΕΜΟΤΙΑ,ΔΠ,ΚΗ ΚΑΛΛΟΝΗ ΜΥΤΙΛΗΝΗΣ,ΛΕΣΒΟΥ,ΑΓΙΟΣ ΝΕΚΤΑΡΙΟΣ ΚΑΛΛΟΝΗΣ,81107,22530-22922
ΑΝΕΜΟΥΤΣΑ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38500,24210-36100
ΑΝΕΜΟΧΩΡΑΚΙ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27055,26210-25791
ΑΝΕΜΟΧΩΡΙ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27150,26210-25791
ΑΝΕΡΑΤΖΑ,ΔΠ,ΠΑ ΠΑΡΟΣ,ΚΥΚΛΑΔΩΝ,ΠΕΡΙΦΕΡΕΙΑΚΟΣ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,84400,22840-24254
ΑΝΗΛΙΟ (ΗΛΕΙΑΣ),ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27054,26210-25791
ΑΝΗΛΙΟ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,44200,26510-66966
ΑΝΗΛΙΟ (ΜΑΓΝΗΣΙΑΣ),ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37001,24210-36100
ΑΝΗΦΟΡΑ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36071,22370-22313
ΑΝΗΦΟΡΑΚΙ,,ΝΠ ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑΣ,ΧΑΡ. ΤΡΙΚΟΥΠΗ 1 & ΤΕΝΕΔΟΥ,21056,27520-96160
ΑΝΘΕΙΑ (ΕΒΡΟΥ),,ΑΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΥ,ΝΙΚΟΜΗΔΕΙΑΣ & ΙΣΜΑΡΟΥ,68150,25510-31000
ΑΝΘΕΙΑ (ΜΕΣΣΗΝΙΑΣ),,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24009,27210-88271
ΑΝΘΕΩΝ,,ΒΕ ΗΛΙΟΥΠΟΛΗ,ΑΤΤΙΚΗΣ,ΕΡΓΑΤΩΝ ΤΥΠΟΥ 4,17343,210-9714000
ΑΝΘΗ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62200,23210-50889 & 23210-50887
ΑΝΘΗΔΟΝΑ,ΔΠ,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34150,22210-73333 & 22210-21120
ΑΝΘΗΛΗ,,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35150,22310-23901 & 22310-51553
ΑΝΘΗΡΟ,,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67150,25410-68384 & 25410-65250
ΑΝΘΗΡΟ (ΑΡΓΙΘΕΑΣ ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43060,24410-25983
ΑΝΘΗΡΟ (ΙΤΑΜΟΥ ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43100,24410-25983
ΑΝΘΗΡΟ (ΚΑΣΤΟΡΙΑΣ),ΔΠ,ΚΣ ΚΑΣΤΟΡΙΑ,ΚΑΣΤΟΡΙΑΣ,ΓΡΑΜΜΟΥ 39,52200,24670-82550
ΑΝΘΟΚΗΠΟΙ ΠΟΛΙΧΝΗΣ,,ΘΕ ΕΥΚΑΡΠΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 110, ΩΡΑΙΟΚΑΣΤΡΟ",56535,2310-688955
ΑΝΘΟΚΗΠΟΥΡΟΙ,,ΒΘ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΤΤΙΚΗΣ,ΚΥΠΡΟΥ 41 & ΑΡΕΤΗΣ,13451,210-2693523 & 210-2693553
ΑΝΘΟΠΥΡΓΟΣ,,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27131,26210-25791
ΑΝΘΟΤΟΠΟΣ (ΑΡΤΑΣ),,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47150,26810-79878 & 26810-24757
ΑΝΘΟΤΟΠΟΣ (ΚΟΖΑΝΗΣ),ΔΠ,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50150,24610-21100 & 24610-33446
ΑΝΘΟΤΟΠΟΣ (ΜΑΓΝΗΣΙΑΣ),ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37100,24210-36100
ΑΝΘΟΥΠΟΛΗ,,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45560,26510-66966
ΑΝΘΟΥΠΟΛΗ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34500,22230-29720
ΑΝΘΟΥΠΟΛΗ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
ΑΝΘΟΥΠΟΛΗ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12135,210-5782111
ΑΝΘΟΥΠΟΛΗ,,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,41335,2410-619009
ΑΝΘΟΥΠΟΛΗ Η ΑΝΘΟΚΗΠΟΙ,,ΘΛ ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2 ΧΛΜ ΛΑΓΚΑΔΑ - ΘΕΣ/ΚΗΣ,54500,23940-20885
ΑΝΘΟΥΣΑ (ΑΤΤΙΚΗΣ),,ΑΠ ΠΑΛΛΗΝΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ 46,15349,210-6664728 & 210-6664709
ΑΝΘΟΥΣΑ (ΑΤΤΙΚΗΣ),,ΑΠ ΠΑΛΛΗΝΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ 46,15349,210-6664728 & 210-6664709
